Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
Oxi-blend aqua,"Laboratorio Avi-Mex, S.A. de C.V.",Oxitetraciclina ,"Oxitetraciclina HCL…..500.0g     
Excipiente c.b.p….1000.0g",Antimicrobiano sint‚tico de amplio espectro para especeis acu ticas para el tratamiento de los camarones en crecimiento,6-8 kg/ton de alimeto durante 7-14 d¡as,30 d¡as despu‚s de £ltima administraci¢n,DGSA-DSAP-CSAUA-005-(1)/2017,Antibiótico ,08-may-17,08-may-22
STAFAC 500,"PB ANIMAL HEALTH DE MÉXICO, S. DE R.L. DE C.V. ","Virginiamicina, Carboxi metil celulosa de sodio, aceite mineral, carbonato de Calcio.","Virginiamicina…..50.0 g.
e.c.p…....100.0 g. ",En camarón esta  indicado para el control y tratamiento de infecciones causadas por los micoorganismos del genero Vibrio parahaemolyticus y Vibrio vulnificus,160 mg/Kg. De biomasa sobre d¡a dividido en tres a cuatro porciones durante 15 d¡as.,Previo a la cosecha: 0 d¡as,DGSA-DSAP-CSAUA-006-(1)/2017,Antibiótico ,08-may-17,08-may-22
APICAMARÓN HIPERINTENSIVO 28%,"Malta Texo de México, S.A. de C.V. ","Trigo, ma¡z, sorgo, harina de pescado, pastas de oleaginosas, subproductos de trigo, gluten de ma¡z, aceite de pescado, aceite vegetal, manano oligosac ridos (MOS), beta glucanos, fosfol¡pidos, fosfato de calcio, carbonato de calcio, cloruro de sodio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K estabilizadas,  cido f¢lico, minerales quelatados tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, cobre, cobalto, magnesio, manganeso, yoduro de potasio, ¢xido de zinc, sulfato ferroso, potasio, selenio y cromo org nicos. ","Proteina cruda... 28.0% min                         
Grasa cruda......8.0% min 
Fibra  cruda….4.0%  max   
Humedad ....12.0%  max                  
Cenizas ....12.0%  max  
E.LN.....?36.0%",Alimento balanceado dise¤ado para ser administrado a partir de los 3g de peso hasta la cosecha a una densidad de 200-600 organismos por m2. Camarón,Para calcular las primeras raciones se multiplica la biomasa total del estanque por el 25% de peso corporal y esta se divide entre el numero de raciones que se quiere ofrecer,No aplica,A-136/2017-001,Alimento,17-may-17,17-may-22
HASQUER 40% MIGAJAS,"ALIKAM, S.A. de C.V.","Sorjo y/o ma¡z , harina de pescado, harina de subproductos de ave (pollo), harina de origen marino (jaiba), pasta de soya, pasta de c rtamo, pasta de canola. Aceite de pescado estabilizado, soluble de pescado, lecitina de soya, vitaminas y minerales.","Proteina min...40.0 %.
Grasa min.....8.0 %.           Fibra max....?4.0 %.
Cenizas max….13.0 %.    Humedad max.....12.0 %. ","Acu¡cola, alimento balanceado iniciador. Para camarones de 1gr hasta alcanzar los 5gr",Del 10% al 3% con relacion al peso de la biomasa en el estanque,No aplica.,A-182/2017-002,Alimento,06-jun-17,06-jun-22
HASQUER 35% PELLET,"ALIKAM, S.A. de C.V.","Sorjo y/o ma¡z , harina de pescado, harina de subproductos de ave (pollo), harina de origen marino (jaiba), pasta de soya, pasta de c rtamo, pasta de canola. Aceite de pescado estabilizado, soluble de pescado, lecitina de soya, vitaminas y minerales.","Proteina min....?35.0 %.
Grasa min…..6.0 %.           Fibra max…..4.5 %.
Cenizas max....13.0 %.    Humedad max....12.0 %. ","Acu¡cola, alimento balanceado desarrollo y creciemiento. Para camarones de 6 gr hasta 12 gr.",Del 2.5 al 1.8% con relaci¢n al peso de la biomasa en el estanque,No aplica,A-182/2017-004,Alimento ,06-jun-17,06-jun-22
HASQUER 30% PELLET,"ALIKAM, S.A. de C.V.","Sorjo y/o ma¡z , harina de pescado, harina de subproductos de ave (pollo), harina de origen marino (jaiba), pasta de soya, pasta de c rtamo, pasta de canola. Aceite de pescado estabilizado, soluble de pescado, lecitina de soya, vitaminas y minerales.","Proteina min….30.0 %.
Grasa min....5.5 %.           Fibra max....?5.0 %.
Cenizas max......12.0 %.    Humedad max....12.0 %. ","Acu¡cola, alimento balanceado finalizador 1 para camarones de 13 gr hasta 16 gr",Del 1.8 al 1.7% con relaci¢n al peso de la biomasa en el estanque,No aplica,A-182/2017-001,Alimento ,06-jun-17,06-jun-22
HASQUER 25% PELLET,"ALIKAM, S.A. de C.V.","Sorjo y/o ma¡z , harina de pescado, harina de subproductos de ave (pollo), harina de origen marino (jaiba), pasta de soya, pasta de c rtamo, pasta de canola. Aceite de pescado estabilizado, soluble de pescado, lecitina de soya, vitaminas y minerales.","Proteina min…..25.0 %.
Grasa min…..3.5 %.           Fibra max.....?4.5 %.
Cenizas max…..11.5 %.    Humedad max.....11.5 %. ","Acu¡cola, alimento balanceado finalizador 2 para camarones de 17 gr hasta alcanzar el tiempo de cosecha",Del 1.7 al 1.3% con relaci¢n al peso de la biomasa en el estanque,,A-182/2017-003,Alimento ,06-jun-17,06-jun-22
Apicamarón 3 30% (Engorda Inical  Medicado con Oxitetraciclina ,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, sorgo, harina de pescado, harina de calamar, pastas de oleaginosas, subproductos de trigo, gluten de maíz, gluten de trigo, aceite de pescado, aceite vegetal, lecitina, fosfato de calcio, carbonato de calcio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A y D estabilizadas, Vitaminas E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, sulfato de cobre, óxido de magnesio, óxido de manganeso, yodo, óxido de zinc, sulfato ferroso, sulfato de potasio, Oxitetraciclina 4g/Kg. ",Proteína min……30.00%            Cenizas max…….11.00%           humedad max…10.00%                   fibra max…………..3.00%                    grasa min…………..8.00%               ELN…………………..38.00%                   ,alimento medicado con Oxitetraciclina para camarón ,,20 días antes de la cosecha ,AM-136/2015-002,Alimento Medicado ,30-jun-17,30-jun-22
MICRONUTRIENTE AL,"Pecuarius Laboratorios, S.A. de C.V.","Bacillus subtilis, Bacillus firmus, Bacillus licheniformis, Bacillus coagulans, Bacillus polymyxa, Bacillus pumilus, Bacillus circulans y Bacillus lentus","Bacillus subtilis, Bacillus firmus, Bacillus licheniformis, Bacillus coagulans, Bacillus polymyxa, Bacillus pumilus, Bacillus circulans y Bacillus lentus……………………….mín 1,000,000  (106) UFC/frasco.",Aditivo alimenticio para uso en la acuacultura. Camarón,"Larvas, postlarvas y  juveniles: adicionar el contenido del frasco en 500 Kg de alimento. Disolver el contenido del frasco en 10 mL de agua, vaciar el contenido en 2 a 3 Kg de alimento y mezclar para homogenizar, adicionar esta mezcla en el alimento completo (500 Kg). ",No aplica ,DGSA-DSAP-CSAUA-012-(3)/2016,Aditivo ,05-sep-16,05-sep-21
Epizym-PST ,"Proveedora de Insumos Acuícolas, S.A. de C.V.","Bacillus subtilis, Bacillus licheniformos, Pseudomonas putida y Pseudomonas fluorescen","Bacillus subtilis, Bacillus licheniformos,Pseudomonas putida y Pseudomonas fluorescen……………..min 1x109 UFC",Mezcla de bacterias. Camarón,aplicar de 1 a 2 Kg por hectárea   ,No aplica ,DGSA-DSAP-CSAUA-014-(3)/2015,Aditivo ,30-nov-15,30-nov-20
Aquaflor,"INTERVET MÉXICO, S.A. DE C.V. ",Florfenicol,"Cada 1,000 mg contiene:              Florfenicol …………………………..500 mg      Vehículo c.b.p.……………………….1,000 mg",Antibiótico de amplio espectro para incorporar al alimento indicado para el tratamiento de enfermedades causadas por bacterias sensibles al florfenicol.,"En camarón 5 mg/kg de peso de florfenicol y en peces para Streptococcus iniae y Francisella asiática, administrar 15 mg/kg de peso de florfenicol, por 10 días consecutivos tanto en camarones como en peces.","peces de agua fría 15 días, peces de agua templada 12 días, camarón 21 días.",DGSA-DSAP-CSAUA-022-(1)/2017,Antibiótico ,16-oct-17,16-oct-22
MULTI- MILK,"PRODUCTOS QUÍMICO AGROPECUARIOS, S.A. DE C.V. ","Grasa animal (bovino) y vegetal (con BHA, BHT), mezcka de tocoferoles como conservadores, aceite vegetal, caseina, suero de leche bovina, fosfato dicalcico, carbonato de calcio, lecitina de soya, cloruro de potasio, maltodextrinas, suplemento de vitamina E, sulfato ferroso, suplemento de vitamina A, suplemento de vitamina D3, suplemento de vitamina B12, ácido fóloco, cloruro de colina, niaciamida, pentotenato de calcio, mononitrato de tiamina, suplemento de rivoflavina, gluconato de cobre, complejo de metionina de zinc, hidrocloruro de piridoxina, sulfato de magnesio, sulfato de manganeso, dioxido de silicio, biotina, EDDI, selenita sodica.","Proteina min….30.0 %.
Grasa min....50 %.           Fibra max....0.5 %.
Humedad max....5.0 %. ","Suplemento Nutricional. Camarón, tilapia, trucha",Entre 10-20% del peso animal,No aplica,A-151/2017-001,Alimento,17-oct-17,17-oct-22
APICAMARON MEDIA DENSIDAD 30% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, soya, harina de pescado, harina de ave prime, calamar, lecitina, pastas de oleaginosas, gluten de trigo, subproductos de trigo, gluten de maíz, aceite de pescado, aceite vegetal, fosfato de calcio, carbonato de calcio, cloruro de sodio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, cobre, cobalto, magnesio, manganeso, yodo, zinc, sulfato ferroso, selenio y cromo orgánico, potasio, oligosacáridos, glucomananos.","Proteína cruda mín………………30.00% 
Grasa cruda mÍn.…….……………7.00%          
Fibra cruda máx………………......6.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..12.00%   
ENL………………….………….....33.00%",Alimento balanceado y diseñado para ser suministrado a los camarones de 10 g de peso,Camarones (Litopenaeus vannamei),No aplica,A-136/2017-006,Alimento,15-nov-17,15-nov-22
APICAMARON MEDIA DENSIDAD 35% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, soya, harina de pescado, harina de ave prime, calamar, lecitina, pastas de oleaginosas, gluten de trigo, subproductos de trigo, gluten de maíz, aceite de pescado, aceite vegetal, fosfato de calcio, carbonato de calcio, cloruro de sodio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, cobre, cobalto, magnesio, manganeso, yodo, zinc, sulfato ferroso, selenio y cromo orgánico, potasio, oligosacáridos, glucomananos.","Proteína cruda mín………………35.00% 
Grasa cruda mÍn.…….…………...6.00%          
Fibra cruda máx………………......6.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..11.00%   
ENL………………….………….....30.00%",Alimento balanceado y diseñado para ser suministrado a los camarones de 2 g de peso,Camarones (Litopenaeus vannamei),No aplica,A-136/2017-007,Alimento,15-nov-17,15-nov-22
GROWFISH TRUCHA 2 (INICIACIÓN) 35% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico","Proteína cruda mín………………35.00% 
Grasa cruda mÍn.…….……………5.5.00%          
Fibra cruda máx………………......5.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..8.00%   
ENL………………….………….....34.5.00%",Alimento balanceado formulado para cubrir los requerimientos de las tilapias durante  la etapa de iniciación,Tilapia (Oreochromis niloticus),No aplica,A-136/2017-005,Alimento,15-nov-17,15-nov-22
GROWFISH TRUCHA 3 (ENGORDA) 30% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino, ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico","Proteína cruda mín………………30.00% 
Grasa cruda mÍn.…….……………5.50%          
Fibra cruda máx………………......5.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..8.00%   
ENL………………….……….....38.5.00%",Alimento completo formulado para cubrir los requerimientos de las tilapias durante la etapa de engorda. De 70 a 100 gramos de peso,Tilapia Mojarra (Oreochromis niloticus),No aplica,A-136/2017-004,Alimento,23-nov-17,23-nov-22
GROWFISH TRUCHA 1 (ALEVÍN) 50% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Maíz, Sorgo, trigo, pastas de oleaginosas, harina de pescado, harina de carne de bovino o porcino o caprino u ovino, soluble de pescado, subproductos de ave (pollo de engorda y gallina de postura), harina de sangre de pollo), gluten de maíz, salvado y acemite de trigo, grano seco de destilería, pulido de arroz, aceite de soya, aceite de pescado, fosfolipidos; vitaminas A, D y E estabilizadas, vitaminas del complejo B, vitamina C; carotenos naturales y artificiales, carbonato de calcio, cloruro de sodio, fosfato de calcio, yoduro de potasio, sulfato ferroso, sulfato de cobre, sulfato de magnesio, sulfato de manganeso, óxido de zinc, selenio y cromo orgánico","Proteína cruda mín………………50.00% 
Grasa cruda mÍn.…….……………14.00%          
Fibra cruda máx………………......3.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..14.00%   
ENL………………….………….....7.00%",Alimento completo formulado para cubrir los requerimientos de las truchas durante la etapa de alevín. Se utiliza desde que las truchas tienen 50 gramos de peso o midan aproximadamente 16 cm de longitud,Truchas (Oncorhynchus mykiss),No aplica,A-136/2017-003,Alimento,23-nov-17,23-nov-22
Natural  Force 30,"VIMIFOS, S.A. de C.V.","Granos de cereales, subproductos de cereales, pastas de oleaginosas, harina de origen acuícola (calamar y/o pescado y/o krill y/o camarón) y/o harina de origen avícola (pollo y/o pluma) y/o harina de origen porcino (sangre y/o carne y hueso) aceite de pescado, proteína de soya, lisina y/o metionina, lecitina de soya, vitamina A, vitaminas del complejo B, ácido fólico, biotina, vitamina C, Vitamina D3, Vitamina E, vitamina K, carbonato de calcio, fosfato monodicálcico, cobalto, cobre, hierro, manganeso, selenio, yodo (EDDI), zinc, propionato de calcio.","Proteína cruda mín………………30.00% 
Grasa cruda mÍn.…….……………6.00%          
Fibra cruda máx………………......5.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..11.00%   
ENL………………….……….....36.00%",Alimento balanceado para camarón del genero Litopeneus en etapa de engorda,ofrecer a libre acceso ,No aplica,A-041/2012-002,Alimento,05-dic-17,05-dic-22
APICAMARON EXTENSIVO 30% DE PROTEINA,"Malta Texo de México, S.A. de C.V. ","Trigo, maíz, soya, harina de pescado, harina de ave prime, calamar, lecitina, pastas de oleaginosas, gluten de trigo, subproductos de trigo, gluten de maíz, aceite de pescado, aceite vegetal, fosfato de calcio, carbonato de calcio, cloruro de sodio, cloruro de colina, metionina, lisina, vitamina C, vitaminas A, D, E y K, tiamina, niacina, riboflavina, biotina, piridoxina, pantotenato de calcio, cobre, cobalto, magnesio, manganeso, yodo, zinc, sulfato ferroso, selenio y cromo orgánico, potasio, oligosacáridos, glucomananos.","Proteína cruda mín………………30.00% 
Grasa cruda mÍn.…….…………...6.00%          
Fibra cruda máx………………......7.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..12.00%   
ENL………………….………….....33.00%",Alimento balanceado y diseñado para ser suministrado a los camarones de 10 g de peso,Camarones (Litopenaeus vannamei),No aplica,A-136/2017-008,Alimento,22-ene-18,22-ene-23
